place,city,country
MBAL Sveta Petka Vidin,Vidin,BG
Hospital Antofagasta,Antofagasta,CL
Hospital Guillermo Grant Benavente,Concepcion,CL
Hospital Regional Puerto Montt,Puerto Montt,CL
Clinica Bicentenario,Region Metropolitana,CL
Hospital San Borja Arriaran,Santiago,CL
Hospital Van Buren,Valparaíso,CL
Clinica Marly,Bogota,CO
Clinica Shaio,Bogota,CO
Instituto del corazón de Bucaramanga,Bucaramanga,CO
Centro Cardiovascular de Caldas,Manizales,CO
FNKV,Prag,CZ
Fakultni nemocnice u svate Anny v Brne,Brno,CZ
Karlovarská Krajská nemocnice,Karlovy Vary,CZ
Kardiologie na Bulovce,Prague,CZ
Krajska nemocnice t. Bati,Zlín,CZ
Police Hospital,Alexandria,EG
Al Hayat Hospital,Cairo,EG
Al Nakheel Hospital,Cairo,EG
Dr Ahmed Abdel Aziz Multicenter,Cairo,EG
Dr Hisham Ammar Multicenter,Cairo,EG
Dr Hussien Heshmat - As Salam International Hospital,Cairo,EG
Dr. Tarek Rashid,Cairo,EG
Dr.Hazem Al Guindi,Cairo,EG
El Marwa Hospital,Cairo,EG
Nile Badrawy Hospital,Cairo,EG
Sheraton Hospital for Medical Services,Cairo,EG
Wadi El Neel Hospital,Cairo,EG
Um El Korra Hospital,El Gharbeya,EG
L-Fouad Cardiac Center,Menofia,EG
East-Tallinn Central Hospital,Tallinn,EE
North EE Medical Center,Tallinn,EE
Hopital Européen de Paris La Roseraie,Aubervilliers,FR
GCS Cardiologique de Bayonne,Bayonne,FR
Clinique St Augustin Bordeaux-Centre d'exploration-chirurgie,Bordeaux,FR
Hopital Privé Saint Martin,Caen,FR
Pôle Santé République Clermont Ferrand,ClermontFerrand,FR
Hopital Albert Schweitzer GHCA Colmar,Colmar,FR
Clinique de Fontaine,Dijon,FR
Groupement mutualiste de Grenoble,Grenoble,FR
CHD Vendée La Roche sur Yon,La Roche sur Yon,FR
CH Louis Pasteur-Le Coudray,Le Coudray,FR
Hopital privé La Louviere-Lille,Lille,FR
CH St Joseph St Luc Lyon,Lyon,FR
Hopital Privé Jacques Cartier Massy,Massy,FR
Clinique du Pont de Chaume Montauban,Montauban,FR
Clinique du Milénaire,Montpellier,FR
CH Montreuil,Montreuil,FR
Clinique Diaconat Fonderie Mulhouse,Mulhouse,FR
Clinique Louis Pasteur Essey les Nancy,Nancy,FR
Le Confluent Nouvelles Cliniques Nantaises,Nantes,FR
Clinique Ambroise Paré,Neuilly Sur Seine,FR
Groupe Hopitalier Paris Saint Joseph,Paris,FR
Hopital privé St Martin Pessac (DR Levy),Pessac,FR
Hôpital Privé St Martin de Pessac,Pessac,FR
CH René Dubos Pontoise,Pontoise,FR
CHIC Quimper,Quimper,FR
Hopiatl Privé Claude Galien Quincy,Quincy sous sénart,FR
Clinique Saint-Laurent Rennes,Rennes,FR
Clinique ST Hilaire Rouen,Rouen,FR
CH Yves le Foll - Saint Brieuc,Saint Brieuc,FR
CH La Timone Marseille,Saint Pierre,FR
CH Général de Saint Quentin,SaintQuentin,FR
Institut Arnault Tzanck St Laurent du Var,St Laurent du Var,FR
CH de Valence,Valence,FR
CH Bretagne Atlantique,Vannes,FR
Diagnostic Services Ltd. Cardio Clinic,Tbilisi,GE
Helsicore Clinic,Tbilisi,GE
JoAnn Medical Center,Tbilisi,GE
Hospital Pándy Kálmán,Gyula,HU
Moritz Kaposi General Hospital,Kaposvár,HU
Szatmar-Szabolcs-Bereg county hospital and university teaching hospital,Nyíregyháza,HU
Pecs University,Pecs,HU
Landspitali National University hospital,Reykjavik,IS
Kamalnayan Bajaj Hospital,Aurangabad,IN
Coimbatore,Coimbatore,IN
Jaipur,Jaipur,IN
Kolkata,Kolkata,IN
Mohali,Mohali,IN
H.J. Doshi Ghatkopar Hindusabha Hospital,Mumbai,IN
Nagpur,Nagpur,IN
Trivanderum,Trivanderum,IN
RSUPN Cipto Mangunkusumo,Jakarta Pusat,ID
RSUP Fatmawati General Hospital,Jakarta Selatan,ID
Binawaluya Cardiac Center,Jakarta Timur,ID
Medistra Hospital,Jakarta,ID
Awal Bros Hospital,Makassar,ID
Dr. Wahidin Sudirohusodo General Hospital,Makassar,ID
Saiful Anwar Hospital,Malang,ID
Dr. Soetomo General Hospital,Surabaya,ID
Ziv M.C,Zefat,IL
Iwaki Kyoritsu General Hospital,Fukushima,JP
Tokai University Hachiouji Hospital,Hachiōji,JP
Hakodate Municipal Hospital,Hakodate Hokkaido,JP
Kakogawa East City Hospital,Kakogawa,JP
Komaki City Hospital,Komaki Aichi,JP
Gunma Prefectural Cardiovascular Center,Maebashi,JP
Mie Heart Center,Mie,JP
Saitama Cardiovascular and Respiratory Center,Saitama,JP
Mimihara General Hospital,Sakai,JP
Saiseikai Senri Hospital,Suita,JP
Higashi Takarazuka Satoh Hospital,Takarazuka Hyougo,JP
Kouseikai Takai Hospital,Tennri Nara,JP
Saiseikai Yamaguchi General Hospital,Yamaguchi,JP
Showa University Fujigaoka Hospital,Yokohama Kanagawa,JP
Saiseikai Yokohama City Eastern Hospital,Yokohama,JP
Seirei Yokohama Hospital,Yokohama,JP
JO Hospital,Amman,JO
Aktobe Regional Hospital,Aktobe,KZ
Medical University Clinic West KZ,Aktobe,KZ
Almaty city cardio center,Almaty,KZ
National Surgery Center Almat,Almaty,KZ
City Hospital #2,Astana,KZ
JSC Nat. Scient. Cardiosurgery Ctr.,Astana,KZ
National Scientific Medical Research Center JSC,Astana,KZ
Regional Cardiosurgery Center,Karaganda,KZ
Karagandy Regional Cardiac Center,Karagandy,KZ
Akmola Regional Hospital,Kokshetau,KZ
Pavlodar Regional Cardiologic center,Pavlodar,KZ
Cardiology Center Petropavl,Petropavl,KZ
Rudnyi City Hospital,Rudnyi,KZ
University Hospital of Semey,Semey,KZ
Shymkent Regional Cardiology Center,Shymkent,KZ
Clinical Center of Cardiac Surgery and Transplantation,Taraz,KZ
Sabah Al Ahmad Cardiac Center,,KW
Hopital Abou Jaoudé,Beirut,LB
Labib Medical Center,Sidon,LB
LSMU Kauno Klinikos,Kaunas,LT
Alor Setar,Kedah,MY
Desa Park City,Kuala Lumpur,MY
HSC Medical Center,Kuala Lumpur,MY
UiTM Sg. Buloh Campus,Sungai Buloh,MY
Fray Juan de San Miguel,Michoacan,MX
Clinica Hospital San Jose de Navojoa SA de CV,Sonora,MX
Hospital Star Médica Merida,Yucatán,MX
Clinique Achifaa de Casablanca,Casablanca,MA
CLINIQUE INTERNATIONALE de Marrakech,Marrakech,MA
Clinique Grant Atlas,Marrakesh,MA
Cherradi_Clinique Agdal,Rabat,MA
Meander Amersfoort,Amersfoort,NL
Scheper Ziekenhuis,Emmen,NL
Zorgzaam Ziekenhuis Zeeuws-Vlaanderen,Terneuzen,NL
VieCuri Medical Centre,Venlo,NL
Muscat Private Hospital,Muscat,OM
Szpital Kliniczny Przemienienia Panskiego UM im. K. Marcinkowskiego w Poznaniu,Poznan,PL
Infant Jesus Teaching Hospital,Warsaw,PL
Instytut Kardiologii im. Prymasa Tysiąclecia Stefana Kardynała Wyszyńskiego,Warsaw,PL
Hospital Santa María,Lisboa,PT
Clinicile ICCO,Braşov,RO
Centrele de Exelenta ARES,Constanţa,RO
Spitalul Judetean de Urgenta Sibiu,Sibiu,RO
Cordismed SRL,Timisoara,RO
Prince Abdullah Bin Abdulaziz Cardiac Center,North Region Arar KSA,SA
Dallah Hospital,Riyadh,SA
Cardiovascular Institute Dedinje,Belgrade,RS
CHC Bezanijska kosa,Belgrade,RS
KBC Zvezdara,Belgrade,RS
Institute of cardiovascular diseases Vojvodina,Sremska Kamenica,RS
Stredodlovensky Ustav Srdcovych A Cievnych Chorob,Banská Bystrica,SK
Dr JCW Badenhorst - Netcare Unitas Hospital,Centurion,ZA
Unitas Hospital - Dr. Ebrahim,Centurion,ZA
Netcare Union Hospital,Johannesburg,ZA
Ethekwini Hospital & Heart centre,Newlands,ZA
Netcare Greenacres Hospital,Port Elizabeth,ZA
Netcare Unitas Hospital,Pretoria,ZA
Hospital general de Albacete,Albacete,ES
Hospital Infanta Cristina - Badajoz,Badajoz,ES
Hospital G. Trias i Pujol (Badalona),Badalona,ES
Hospital de Cruces-Barakaldo,Barakaldo,ES
Hospital Sant Pau (Barcelona),Barcelona,ES
Hospital V. Hebrón,Barcelona,ES
Hospital de Galdakano,Bizkaia,ES
Hospital General Universitario de Burgos,Burgos,ES
Hospital San Pedro de Alcantara-Caceres,Caceres,ES
Hospital Santa Lucia de Cartagena,Cartagena (Murcia),ES
Universitario Santa Lucia (Hospital Nostra Señora Rossell) (Cartagena),Cartagena,ES
Hospital General Ciudad Real,Ciudad Real,ES
Hospital de la Cruz Roja de Córdoba,Córdoba,ES
Hospital Reina Sofia de Córdoba,Córdoba,ES
Hospital Cabueñes (Gijón),Gijón,ES
Complexo Hospitalario Universitario A Coruña (CHUAC),La Coruña,ES
Hospital San Rafael (La Coruña),La Coruña,ES
Hosp Universitario de Gran Canaria Dr. Negrin,Las Palmas De Gran Canaria,ES
Hospital San Pedro (Logroño - La Rioja),Logroño,ES
Hospital San Pedro,Logroño,ES
Hospital Universitario Lucus Augusti (HULA),Lugo,ES
Clinica La Luz,Madrid,ES
Clínica San Fransisco de Asis (Madrid),Madrid,ES
Hospital Fundacion Alcorcon,Madrid,ES
Hospital La Luz,Madrid,ES
Hospital Moncloa (Madrid),Madrid,ES
Hospital Moncloa,Madrid,ES
Hospital Puerta de Hierro (Madrid),Majadahonda,ES
Hospital Manises (Valencia),Manises,ES
Hospital Virgen Arrixaca (Murcia),Murcia,ES
Hospital de Mérida,Mérida,ES
Universitario central de Asturias (Oviedo),Oviedo,ES
Universitario central de Asturias,Oviedo,ES
San Juan de Alicante,San Juan,ES
Santander,Santander,ES
Hospital Virgen De La Salud (Toledo),Toledo,ES
Clínico Universitario Valencia,Valencia,ES
Instituto Cardiologico Hospital Campo Grande (Valladolid),Valladolid,ES
Instituto Cardiologico Hospital Campo Grande,Valladolid,ES
Hospital Meixoeiro-MEDTEC (Vigo),Vigo,ES
Hospital Txagorritxu,Vitoria,ES
Hospital Clínico Lozano Blesa de Zaragoza,Zaragoza,ES
Gavle Sjukhus,Gavle,SE
Malarsjukshuet,Malarsjukhuset,SE
sjukhuset Orebro,Orebro,SE
Skaraborgs sjukhus v Skövde,Skövde,SE
Sundvalls Sjukhus,Sundvalls,SE
Vastmanlads Sjukhus,Vasteras,SE
Västmanlads sjukhus Västerås,Västerås,SE
Universitets Sjukhuset I Örebro,Örebro,SE
Ticino (TI),Lugano,CH
HerzGefässZentrum Zürich,Zürich,CH
HerzGefässZentrum,Zürich,CH
Paolo Memorial Hospital Phaholyothin,Bangkok,TH
Police General Hospital,Bangkok,TH
Ramkhamhaeng Hospital,Bangkok,TH
HRH Princess Maha Chakri Siridhorn Medical Center,Nakhon Navok,TH
HRH Princess Maha Chakri Sirindhorn Medical Center (Nakornayok),Nakhon Navok,TH
Central Chest Institute of TH,Nonthaburi,TH
Phatara Thonburi Hospital,Pathum Thani,TH
Udonthani HP.,Udon Thani,TH
Udonthani Hospital,Udonthani,TH
Clinique Hannibal Lac 2_Dr. Mohamed Drissa,El Mourouj,TN
Clinique Générale et Cardiovasculaire de Tunis_Dr. Sami Bouziri,La Marsa,TN
Bassatine Clinic_Dr. Elyes Kharrat,Sfax,TN
Polyclinique Bassatine Cite gardin Sfax_Dr. Zeineb Grati Guermazi,Sfax,TN
Polyclinique El Bassatine SFAX_Dr. Sami Fourati,Sfax,TN
Polyclinique El bassatine_Dr. Mohamed Najeh Abid,Sfax,TN
Polyclinique El Bassatine_Dr. Ridha Ennouri,Sfax,TN
Centre Urbain Nord_Dr. Salem Abdessalem,Tunis,TN
Clinique Cartagène_Dr. Dhaker Lahidheb,Tunis,TN
Clinique Général et Cardiovasculaire de Tunis_Dr. Saloua Trabelsi,Tunis,TN
Clinique Générale et Cardiovasculaire de Tunis_Dr. Saloua TRABELSI,Tunis,TN
Clinique Hannibal Lac 2_Gharbi Mostari,Tunis,TN
Clinique Montplaisir_Dr. Badi Darghouth,Tunis,TN
HU Mohamed Taher El Maâmouri,Tunis,TN
Policlinique Taoufik_Jamel Langar,Tunis,TN
Soukra Medical_Dr. Ben Chedli Tarek,Tunis,TN
Heart Institute,Kiev,UA
Institute of Heart (Ministry of Health),Kiev,UA
NAMS Amosov | Emergency Endovascular Surgery department,Kiev,UA
NAMS Amosov | X-Ray diagnostics and invasive cardiology department,Kiev,UA
National Institute of Cardiovascular Surgery NAMS,Kiev,UA
National Institute of Surgery and Transplantology NAMS,Kiev,UA
S.P.M.C. of Pediatric Cardiology and Cardiac Surgery,Kiev,UA
Strazhesko Institute of Cardiology (National Scientific Centre),Kiev,UA
Government institution Regional centre of cardiac and vessel disease,Zaporizhzhya,UA
Al Noor Hospital-Airport Rd.,Abu Dhabi,AE
LifeCare Hospital,Abu Dhabi,AE
Dubai,Dubai,AE
Belhoul Speciality Hospital,Dubai,AE
Dr. Sulaiman Al Habib Hospital,Dubai,AE
Dubai Hospital,Dubai,AE
Iranian hospital,Dubai,AE
Prime Hospital,Dubai,AE
Al Qassimi Hopsital,Sharja,AE
Royal Brompton and Harefield,Chelsea,GB
Essex Cardiothoracic centre,Basildon,GB
Bath,Bath,GB
Bedford Hospital,Bedford,GB
Sandwell and West Birmingham Hospitals,Birmingham,GB
Bradford teaching hospitals,Bradford,GB
Brighton,Brighton,GB
University Hospital Wales,Cardiff,GB
Croydon University Hospital,Croydon,GB
Eastbourne and Conquest Hospitals,Eastbourne,GB
West Middlesex Hospital,Isleworth,GB
University Hospital of South Manchester,Manchester,GB
Wolverhampton,New Cross,GB
Newport,Newport,GB
Nottingham University Hospitals - Queen's Medical Centre,Nottingham,GB
Queens medical center Nottingham,Nottingham,GB
Bircham Park Offices Plymouth,Plymouth,GB
Plymouth Hospital,Plymouth,GB
Sheffield teaching hospital,Sheffield,GB
Stevenage,Stevenage,GB
Tunbridge Wells Hospital,Tunbridge Wells,GB
Coventry and Warwickshire,Walsgrave,GB
Worcestershire Acute Hospitals,Worcestershire,GB
West Sussex,Worthing,GB
Wycombe,Wycombe,GB
Republic Specialized Center of Surgery,Tashkent,UZ
Hò Chi Minh City,Vietnam,
Terumo Europe,,
"Hospital de Agudos ""Dr. Carlos Bocalandro""",Tres de Febrero,AR
Hospital Británico,Buenos Aires,AR
Sanatorio Mitre,Buenos Aires,AR
Hotel Dieu-Grace Hospital,Windsor,CA
The 1st Affiliated Hosp of the 4th Military Med Uni,Xi'an,CN
Med College Xi'an Jiaotong Univ.,Xi'an,CN
Beijing Friendship Hosp.,Beijing,CN
National Hospital Organization Ibaraki Higashi Hospital,Ibaraki,JP
Seoul Metropolitan Boramae Hospital,Seoul,KR
Unicancer - Institut Bergonie,Bordeaux,FR
Caen- CHU,Caen,FR
Le Mans - CHG,Le Mans,FR
Lyon - Centre Léon Bérard,Lyon,FR
Hospital Nord,Marseille,FR
Nantes - CRLCC,Nantes,FR
Curie Cancer Center Paris,Paris,FR
Toulouse - CHU,Toulouse,FR
Tours - CHU,Tours,FR
Fondazione IRCCS Istituto Nazionale die Tumori,Milan,IT
AULSS2 Marca Trevigiana Treviso,Treviso,IT
Alicante University Hospital ISABIAL,Alicante,ES
Vall Hebron University Hospital/Vall Hebron Institue Oncology,Barcelona,ES
Puerta de Hierro Hospital,Majadahonda,ES
Hospital Parc Tauli Sabadell,Sabadell,ES
Complexo Hospitalario Universitario de Vigo,Vigo,ES
Istituto Oncologica della Svizzera Italiana,Bellinzona,CH
UniversitätSpital Zürich,Zürich,CH
Univ.Klinik für Kinder- und Jugendheilkunde Graz,Graz,AT
Univ.Klinik für Kinder- und Jugendheilkunde Innsbruck,Innsbruck,AT
University Hospital Ostrava-Poruba,OstravaPoruba,CZ
University Hospital Plzeň,Plzeň,CZ
Masaryk´s Hospital Ústí nad Labem,Ústí nad Labem,CZ
Regional Hospital České Budějovice,České Budějovice,CZ
Sheba Medical Center Tel-Hashomer,Ramat Gan,IL
Azienda ospedali riuniti,Ancona,IT
AOUC Policlinico Bari,Bari,IT
Università di Bologna,Bologna,IT
Azienda ospedaliero universitaria,Catania,IT
S.O. Annunziata - A. O. Cosenza,Cosenza,IT
Ospedale Meyer,Firenze,IT
Policlinico di Modena Azienda Ospedaliero-Universitaria,Modena,IT
Clinica pediatrica Fondazione MBBM,Monza,IT
A.O.U. Vanvitelli,Napoli,IT
AORN Santobono Pausilipon,Napoli,IT
Azienda ospedaliera di Padova,Padova,IT
Ospedale Civico ARNAS Civico e Di Cristina,Palermo,IT
Azienda ospedaliero-universitaria di Parma,Parma,IT
Grande ospedale metropolitano B-M-M,Reggio Calabria,IT
Ospedale infermi,Rimini,IT
Fondazione Policlinico Gemelli,Roma,IT
Policlinico Umberto I Università Sapienza di Roma,Roma,IT
"Ospedale ""Casa sollievo della sofferenza""",San Giovanni Rotondo,IT
A.O.U. Città della salute e della scienza di Torino,Torino,IT
IRCCS Burlo Garofolo,Trieste,IT
AOU Verona,Verona,IT
Klinika pediatrickej hematológie a onkológie SZU a DFNsP,Banská Bystrica,SK
Comenius University Children's Hospital,Bratislava,SK
Detská fakultná nemocnica Košice,Košice,SK
HUG Hôpitaux Universitaires de Gèneve,Genève,CH
Luzerner Kantonsspital-Kinderspital Luzern,Luzern,CH
Pédiatrie hémato-oncologie,Brussels,BE
Pediatrische oncologie,Brussel,BE
Hématologie et oncologie pédiatrique,Brussel,BE
UZ Antwerpen Kinderhemato-oncologie,Edegem,BE
Kinderhemato-oncologie,Leuven,BE
CHR Citadelle Hémato - oncologie pédiatrique,Liège,BE
Masaryk University Cernopolni,Brno,CZ
Avenue René Laënnec - SALOUEL,Amiens,FR
Groupe Hospitalier Pellegrin,Bordeaux,FR
Département de Pédiatrie et Génétique Médicale CHRU Morvan,Brest,FR
Unité d'hémato-immuno-oncologie pédiatrique. Centre Hospitalier Universitaire niveau 1 - bâtiment FEH,Caen,FR
Unité Onco- Hématologie Pédiatrique CHU Estaing 1 place Lucie-Aubrac,ClermontFerrand,FR
Service Immuno-Hématologie Oncologie Pédiatrique,Dijon,FR
Service onco hématologie pédiatrique CHU de Grenoble site Nord - Hôpital Couple enfant,Grenoble,FR
Unité d'hématologie pédiatrique CHRU de Lille - Hôpital Jeanne de Flandre,Lille,FR
Service d'Hématologie - Oncologie pédiatrique CHU Limoges - Hôpital de la mère et de l'enfant,Limoges,FR
CHU de Lyon HCL - GH Est-Institut d'hématologie et d'oncologie pédiatrique IHOP,Lyon,FR
CHU de Marseille - Hôpital de la Timone,Marseille,FR
CHU de Montpellier - Hôpital Arnaud de Villeneuve,Montpellier,FR
CHU NANTES,Nantes,FR
Service d'hémato-oncologie pédiatrique CHU NICE - Hôpital l'Archet 2,Nice,FR
institut Curie,Paris,FR
Service Hémato-immuno- oncologie- CHU PARIS Armand Trousseau,Paris,FR
Service d' hémato-immunologie CHU Paris - Hôpital Robert Debré,Paris,FR
Service Oncologie-Hématologie pédiatrique CHU de Poitiers,Poitiers,FR
Service d'Hémato-Oncologie Pédiatrique- American Hospital,Reims,FR
Pôle pédiatrie Hémato-cancérologie pédiatrique- CHU RENNES - Hôpital sud,Rennes,FR
Service d'Hemato-Oncologie Pediatrique CHU Rouen,Rouen,FR
hopital Félix Guyon,SaintDenis,FR
Pôle mère enfant-Unité Hématologie - Oncologie pédiatrique - CHU Hôpital NORD,SaintPriestenJarez,FR
Service d'Onco-Hematologie Pediatrique CHU STRASBOURG -Hôpital de Hautepierre,Strasbourg,FR
Service Pédiatrie - Hématologie Immunologie Oncologie - CHU Toulouse,Toulouse,FR
Service d'hémato-oncologie pédiatrique- CHU de Nancy - Hôpital de Brabois Enfant,VandœuvrelèsNancy,FR
Dépt de Pédiatrie Gustave Roussy,Villejuif,FR
Universitätsklinikum Aachen .Klinik für Kinder - und Jugendmedizin Hämatologie / Onkologie,Aachen,DE
Schwäbisches Kinderkrebszentrum. I. Klinik für Kinder und Jugendliche Hämatologie / Onkologie,Augsburg,DE
Zentrum für Kinder- und Jugendmedizin- Abt. Hämatologie / Onkologie,Berlin,DE
Station 5e,Cottbus,DE
Semmelweis Univ,Budapest,HU
Heim Pal Children Hospital,Budapest,HU
Univ. of Debrecen,Debrecen,HU
Univ. of Szeged,Szeged,HU
Children's Hospital at Soroka Medical Center,Be'er Sheva,IL
Ein Kerem Medical Center,Jerusalem,IL
"Centro Regionale Oncoematologia Pediatrica- Ospedale dei Bambini ""G. Salesi""",Ancona,IT
Dipartimento Biomedicina Età Evolutiva- U.O. Pediatrica I Policlinico,Bari,IT
Dipartimento Pediatrico degli OO.RR. di Bergamo,Bergamo,IT
Dipartimento di Scienze Pediatriche Mediche Chirurgiche Ospedale Sant'Orsola Malpighi,Bologna,IT
Clinica Pediatrica Ospedale Civile,Brescia,IT
Istituto di Clinica Pediatrica- Ospedale Regionale Microcitemie,Cagliari,IT
U. O. di Pediatria- Azienda Ospedaliera Annunziata,Cosenza,IT
Dipartimento di Medicina Clinica e Sperimentale Sezione di Pediatria - Università di Ferrara,Ferrara,IT
"Dipartimento Pediatria - Azienda ""A.Meyer""",Firenze,IT
"Dipartimento di Ematologia e Oncologia Pediatrica Istituto "" G. Gaslini""",Genova,IT
Oncologia e Trapianto-Azienda Policlinico di Modena,Modena,IT
Clinica Pediatrica Ospedale S. Gerardo Via Donizetti,Monza,IT
"S.C. Ematologia Oncologica- Ospedale ""Pausilipon""",Napoli,IT
Clinica di Oncoematologia Pediatrica- Azienda Ospedaliera-Università di Padova,Padova,IT
Oncoematologia Pediatrica- Ospedale dei Bambini G. di Cristina,Palermo,IT
U.O. di Pediatria e Oncoematologia Pediatrica. Az. Osp. di Parma,Parma,IT
Policlinico San Matteo Piazzale Golgi,Pavia,IT
Dipartimento di Ematologia -Ospedale Civile,Pescara,IT
U.O. Pediatria Ospedale Infermi- Azienda USL Rimini,Rimini,IT
"Sezione Ematologia- Dipart. Biotecnico Cellulare ed Ematologia- Università ""La Sapienza""",Roma,IT
"Divisione di Ematologia Pediatrica- Ospedale ""Bambino Gesù"". Istituto di Ricerca Scientifica",Roma,IT
"Divisione di Pediatria- Ospedale ""Casa Sollievo della Sofferenza""",San Giovanni Rotondo,IT
"- Ospedale ""R. Silvestrini""",San Sisto,IT
Dip. Scienze Pediatriche e dell'Adolescenza Ospedale Infantile Regina Margherita,Torino,IT
U.O. Emato-Oncologia Pediatrica- Università degli studi di Trieste-Ospedale Infantile Burlo Garofolo,Trieste,IT
"U.O. Oncoematologia Pediatrica- Policlinico ""G.B. Rossi""",Verona,IT
Princess Maxima Centre for Pediatric Oncology,Utrecht,NL
Haukeland University Hospital in Bergen,Bergen,NO
St Olavs Hospital in Trondheim,Trondheim,NO
Medical University of Bialystok,Białystok,PL
Nicolaus Copernicus University,Bydgoszcz,PL
Center of Pediatrics and Oncology in Chorzów,Chorzów,PL
Center of Pediatrics in Kielce,Kielce,PL
Medical College Jagiellonian University,Kraków,PL
Provincial Specialist Children's Hospital,Olsztyn,PL
Pomeranian Medical University,Szczecin,PL
Silesian Medical University in Katowice,Zabrze,PL
Centro Hospitalar e Universitário de Coimbra,Coimbra,PT
Instituto Português de Oncologia - Francisco Gentil - Libosa,Lisboa,PT
Instituto Português de Oncologia - Francisco Gentil - Porto,Porto,PT
Oncological center of regional Children's Hospital,Ekaterinburg,RU
Oncology and Immunology Moscow,Moscow,RU
Children´s Faculty Hospital,Banská Bystrica,SK
National Institute of Children's Diseases,Bratislava,SK
Children´s University Hospital,Košice,SK
Hospital Universitario Torrecárdenas,Almería,ES
Hospital Materno-Infantil de Badajoz,Badajoz,ES
Complejo Hospitalario Universitario Insular Materno Infantil,Las Palmas De Gran Canaria,ES
Hospital Clínico Universitario de Santiago,Santiago De Compostela,ES
Universitetssjukhuset i Linköping,Linköping,SE
Nya Karolinska Universitetssjukhuset,Stockholm,SE
Luzerner Kantonspital - Kinderspital Luzern,Luzern,CH
Algemeen Centrumziekenhuis Antwerpen,Antwerpen,BE
UZA Antwerpen,Antwerpen,BE
UCL St Luc,Bruxelles,BE
Hôpital Jolimont,Haine Saint Paul,BE
CHRU Hôpital du Bocage,Angers,FR
Centre hospitalier Argenteuil Victor Dupouy,Argenteuil,FR
Centre hospitalier Duffaut,Avignon,FR
Centre hospitalier de la côte basque,Bayonne,FR
CHRU Hôpital haut Lévêque,Bordeaux,FR
Hôpial Morvan,Brest,FR
Polyclinique du Parc,Caen,FR
Centre Baclesse,Caen,FR
CH William Morey,ChâlonsurSaône,FR
Hôpital Antoine Béclère,Clamart,FR
Hôpital d'instruction des Armées Percy,Clamart,FR
CHRU Dijon,Dijon,FR
CHRU Hôpital Michallon,Grenoble,FR
Centre hospitalier départemental,La Roche sur Yon,FR
Centre hospitalier Bodelio,Lorient,FR
CHU Hôpital Edouard Herriot,Lyon,FR
Hôpital Notre Dame de Bon Secours,Metz,FR
Hôpital Archet,Nice,FR
CHU Hôpital St Antoine,Paris,FR
CHRU Hôpital Jean Bernard,Poitiers,FR
Centre hospitalier de la région d'Annecy,Pringy,FR
Hôpital Debré,Reims,FR
CHRU Hôpital Sud,Rennes,FR
Centre hospitalier de Roanne,Roanne,FR
97405 Saint-Denis,France,
Centre hospitalier Yves Le Foll,St Brieuc,FR
Institut de Cancérologie de la Loire,StPriestenJarez,FR
CHU Toulouse Purpan,Toulouse,FR
CHRU Hôpital Bretonneau,Tours,FR
Centre hospitalier,Troyes,FR
CH Chubert,Vannes,FR
Universitäts Spital,Basel,CH
Istituto Oncologico Sviss. Italiana IOSI Ospedale Regionale Bellinzona e Valli,Bellinzona,CH
Hôpital cantonal,Genêve,CH
Onkologie/Hämatologie Kantonsspital st Gallen,St Gallen,CH
Spital Thun-Simmental Onkologiezentrum,Thun,CH
Institute of Oncology and Hematology Stadtspital Triemli,Zürich,CH
Hôpital de Marseille,Marseille,FR
Papageorgias Hospital,Thessaloniki,GR
AMCCH,Tallaght,IE
Istituto Oncologico Veneto IRCCS,Padova,IT
Casa di Cura Maddalena,Palermo,IT
Policlinico Tor Vergata Roma,Roma,IT
San Camillo Hospital,Roma,IT
Policlinico Umberto,Roma,IT
ICO - Girona,Girona,ES
ICO - Hospital Duran i Reynals,'Hospitalet de Llobregat,ES
Hospital Clinico Universitario San Carlos,Madrid,ES
Mid Essex Hospital Services NHS Trust,Chelmsford,GB
Christie Hospital Manchester,Manchester,GB
Wythenshawe Hospital Manchester,Manchester,GB
Wrexham Maelor Hospital,Wrexham,GB
Medical Oncology Service-ICO,Hospital Germans Trias i Pujol,
Andrews Sports Medicine & Orthopedic Center,Birmingham,US
Southern Orthopaedic Surgeons,Montgomery,US
Steward Orthopedics and Sports Medicine,Phoenix,US
The Orthopedic Clinic Association (Biocartilage),Phoenix,US
The Orthopedic Clinic Association,Phoenix,US
Arizona Bone and Joint Specialists,Scottsdale,US
Agility Center,Bentonville,US
Adventist Health Bakersfield,Bakersfield,US
Los Angeles Institute of Foot and Ankle Surgery,Burbank,US
Blatz Orthopaedics and Sports Medicine,Campbell,US
PRISM,Campbell,US
Greater Long Beach Orthopaedics,Los Alamitos,US
USC Department of Orthopedic Surgery,Los Angeles,US
Kerlan Jobe Orthopaedic Clinic,Los Angeles,US
Mammoth Hospital,Mammoth Lakes,US
Orthomed Center,Modesto,US
Marin Orthopedic and Sports Medicine,Novato,US
Congress Orthopaedic Associates,Pasadena,US
Desert Orthopedic Center,Rancho Mirage,US
Sacramento Orthopedic Center,Sacramento,US
John G. Lane MD Inc.,San Diego,US
Synergy Specialists Medical Group,San Diego,US
Advanced Orthopaedics and Sports Medicine Inc.,San Francisco,US
Anderson Knee and Shoulder Center,San Francisco,US
SBSPMA,San Francisco,US
Alta Orthopaedics,Santa Barbara,US
